retweet_count,favorite_count,length,user_followers_count,user_friends_count,user_statuses_count,user_verified,statuses/followers_count,friends/followers_count,Final Label
0,0,116,11135,11921,18838,0,1.691782667,1.070588235,0
0,0,63,47641,2548,49343,1,1.035725531,0.053483344,1
0,0,107,388,1634,32950,0,84.92268041,4.211340206,0
3,1,117,3594,3338,113417,0,31.55731775,0.928770173,1
0,0,112,4874,2282,91342,0,18.74066475,0.468198605,1
0,0,103,14946,566,19,0,0.001271243,0.037869664,1
0,0,136,16,17,4261,0,266.3125,1.0625,1
0,0,106,223,848,880,0,3.946188341,3.802690583,0
0,0,129,1,39,16,0,16,39,1
0,0,107,3163,3378,289973,0,91.67657287,1.067973443,0
2,3,127,13204,1974,39765,1,3.011587398,0.149500151,1
1,0,105,4239,4992,33642,0,7.936305732,1.177636235,1
0,0,139,159,132,12010,0,75.53459119,0.830188679,1
0,0,138,1193,2193,27016,0,22.64543168,1.838222967,1
0,0,111,1345,1320,29571,0,21.98587361,0.981412639,1
0,0,104,4,26,798,0,199.5,6.5,1
0,0,135,1193,2193,27016,0,22.64543168,1.838222967,1
2,1,89,41085,142,18054,0,0.439430449,0.003456249,1
0,0,106,885,752,16370,0,18.49717514,0.849717514,1
0,1,139,494,1760,31731,0,64.23279352,3.562753036,0
2,0,140,2500,2323,7422,0,2.9688,0.9292,1
1,0,106,16294,49,1161699,0,71.29612127,0.003007242,1
0,0,121,20308,8892,6898,0,0.339669096,0.437857002,1
0,1,97,420,1197,11057,0,26.32619048,2.85,1
2,2,140,815,746,3022,0,3.70797546,0.915337423,0
1,1,128,3493,118,418046,0,119.6810764,0.033781849,1
0,1,122,768,2302,95995,0,124.9934896,2.997395833,0
0,0,98,217,737,57396,0,264.4976959,3.396313364,1
1,1,101,11655,0,155500,0,13.34191334,0,1
6,2,140,18565,5800,14057,0,0.757177485,0.312415836,1
0,0,115,167,521,9181,0,54.9760479,3.119760479,0
0,2,112,57879,39470,152392,0,2.632941136,0.681939909,1
0,0,135,89,199,3131,0,35.17977528,2.235955056,0
0,4,112,8985,8995,43479,0,4.839065109,1.001112966,0
0,1,135,179,136,3069,0,17.1452514,0.759776536,0
0,0,118,5118,4609,172387,0,33.68249316,0.900547089,0
0,0,125,95404,88355,456307,0,4.782891703,0.926114209,0
0,0,140,1937,1600,109064,0,56.30562726,0.826019618,0
0,0,106,1539,2396,21831,0,14.18518519,1.556855101,0
0,0,127,1293,1352,31652,0,24.47950503,1.045630317,0
1,2,77,2899,3612,25483,0,8.790272508,1.245946878,0
0,0,89,2723,1889,463992,0,170.3973559,0.693720162,0
0,0,140,1050,1073,262935,0,250.4142857,1.021904762,0
0,1,112,60,69,2795,0,46.58333333,1.15,0
0,0,139,87,134,4623,0,53.13793103,1.540229885,0
0,0,138,2825,2802,28476,0,10.08,0.991858407,0
0,0,107,388,1634,32950,0,84.92268041,4.211340206,0
0,0,115,167,521,9181,0,54.9760479,3.119760479,0
1,0,139,16,77,34,0,2.125,4.8125,0
0,0,140,819,2290,14388,0,17.56776557,2.796092796,0
0,0,139,284,345,9040,0,31.83098592,1.214788732,0
0,1,126,46,4,4745,0,103.1521739,0.086956522,0
0,0,57,465,202,8708,0,18.72688172,0.434408602,0
